Description,Category
"""Pet food and supplies""",Pets
"""Internet router upgrade""",Electronics
"""Online course on Data Science""",Education
"""Repair of home appliances""",Household
"""Cost of attending a networking event""",Professional Services
"""Birthday gift for a friend""",Gifts
"""Electricity bill payment""",Utilities
"""Pet grooming session""",Pets
"""Subscription to a digital fitness program""",Health & Fitness
"""Online cooking class subscription""",Food
"""Streaming service subscription (HBO Max)""",Entertainment
"""Tax consultant fee""",Professional Services
"""Wedding gift for a colleague""",Gifts
"""Postage for sending packages""",Business Expenses
"""Online cooking class subscription""",Food
"""Monthly rent for office space""",Rent
"""Books for professional development""",Education
"""Monthly loan repayment""",Debt Repayment
"""Household cleaning supplies""",Household
"""Repair of home appliances""",Household
"""Cost of digital marketing campaign""",Marketing
"""Driver tip for a car service""",Transport
"""Cost of attending a networking event""",Professional Services
"""Cost of digital marketing campaign""",Marketing
"""Tax consultant fee""",Professional Services
"""Streaming service subscription (HBO Max)""",Entertainment
"""Monthly grocery bill at Whole Foods""",Food
"""Online course on Data Science""",Education
"""New laptop for work""",Electronics
"""Cost of digital marketing campaign""",Marketing
"""Donation to charity""",Charity
"""Wedding gift for a colleague""",Gifts
"""Birthday gift for a friend""",Gifts
"""Art supplies for painting""",Hobbies
"""Gift card purchase for employee""",Gifts
"""Tickets for a theater play""",Entertainment
"""Gift card purchase for employee""",Gifts
"""Public transport monthly pass""",Transport
"""Water bill payment""",Utilities
"""Art supplies for painting""",Hobbies
"""Cost of digital marketing campaign""",Marketing
"""New pair of sunglasses""",Clothing
"""Subscription to a news outlet""",Entertainment
"""Food delivery from local restaurant""",Food
"""Electric scooter rental""",Transport
"""New headphones for work""",Electronics
"""Subscription to a digital fitness program""",Health & Fitness
"""Monthly internet service bill""",Utilities
"""Electricity backup generator purchase""",Household
"""Cost of digital marketing campaign""",Marketing
"""New laptop bag""",Clothing
"""Cloud note-taking app subscription""",Subscriptions
"""Household insurance premium""",Insurance
"""Repair of home appliances""",Household
"""Night out with friends at a bar""",Entertainment
"""Subscription to a news outlet""",Entertainment
"""Food delivery from local restaurant""",Food
"""Pet grooming session""",Pets
"""Fuel for the car""",Transport
"""Art supplies for painting""",Hobbies
"""Cleaning service for the apartment""",Personal Care
"""Insurance premium payment""",Insurance
"""Cost of digital marketing campaign""",Marketing
"""Pet grooming session""",Pets
"""Online newspaper subscription""",Subscriptions
"""Cleaning service for office""",Business Expenses
"""Costco membership renewal""",Shopping
"""New headphones for work""",Electronics
"""Event registration fee""",Education
"""Household cleaning supplies""",Household
"""Donation to a cause""",Charity
"""Uber ride to the airport""",Transport
"""Cost of digital marketing campaign""",Marketing
"""Tax consultant fee""",Professional Services
"""Bank service fee""",Bills and Fees
"""Household insurance premium""",Insurance
"""Household cleaning supplies""",Household
"""Monthly loan repayment""",Debt Repayment
"""Monthly loan repayment""",Debt Repayment
"""Pet grooming session""",Pets
"""Movie tickets for the weekend""",Entertainment
"""Pet grooming session""",Pets
"""Purchase of kitchenware""",Household
"""Dining out at a restaurant""",Food
"""Flight upgrade to business class""",Travel
"""Premium newsletter membership""",Subscriptions
"""Tickets for a sports event""",Entertainment
"""Magazine subscription for business trends""",Books
"""Movie tickets for the weekend""",Entertainment
"""Food delivery from local restaurant""",Food
"""Tax consultant fee""",Professional Services
"""Phone bill payment""",Utilities
"""Subscription to a news outlet""",Entertainment
"""Costco membership renewal""",Shopping
"""Insurance for personal vehicle""",Insurance
"""Pet grooming session""",Pets
"""Monthly loan repayment""",Debt Repayment
"""Grocery shopping at Walmart""",Food
"""Amazon purchase for home gadgets""",Electronics
"""Tickets for a sports event""",Entertainment
"""Art supplies for painting""",Hobbies
"""Haircut at the salon""",Personal Care
"""Donation to a cause""",Charity
"""New pair of sunglasses""",Clothing
"""Night out with friends at a bar""",Entertainment
"""Laundry service""",Personal Care
"""Uber ride to the airport""",Transport
"""Home décor items from IKEA""",Household
"""Uber ride to the airport""",Transport
"""Grocery shopping at Walmart""",Food
"""Amazon Prime subscription""",Entertainment
"""Tickets for a theater play""",Entertainment
"""Monthly loan repayment""",Debt Repayment
"""Cloud note-taking app subscription""",Subscriptions
"""Streaming service subscription (HBO Max)""",Entertainment
"""Home décor items from IKEA""",Household
"""Insurance premium payment""",Insurance
"""Household cleaning supplies""",Household
"""Government filing fee""",Bills and Fees
"""Electricity bill payment""",Utilities
"""Monthly parking fee""",Transport
"""Event registration fee""",Education
"""New laptop for work""",Electronics
"""Purchase of kitchenware""",Household
"""Parking ticket fine""",Transport
"""Water bill payment""",Utilities
"""New laptop for work""",Electronics
"""Electricity backup generator purchase""",Household
"""Subscription to cloud storage service""",Software
"""Food delivery from local restaurant""",Food
"""Tax consultant fee""",Professional Services
"""Monthly loan repayment""",Debt Repayment
"""Insurance for personal vehicle""",Insurance
"""Fuel for the car""",Transport
"""Electricity bill payment""",Utilities
